ID,Segment
TRAIN_000890,E
TRAIN_000891,E
TRAIN_000899,E
TRAIN_000900,E
TRAIN_000919,E
TRAIN_000920,E
TRAIN_000921,E
TRAIN_000923,E
TRAIN_000928,E
TRAIN_000931,E
TRAIN_000936,E
TRAIN_000939,C
TRAIN_000942,E
TRAIN_000943,C
TRAIN_000947,E
TRAIN_000949,E
TRAIN_000951,E
TRAIN_000953,E
TRAIN_000955,E
TRAIN_000956,E
TRAIN_000960,E
TRAIN_000964,E
TRAIN_000968,E
TRAIN_000974,D
TRAIN_000976,E
TRAIN_000977,E
TRAIN_000981,D
TRAIN_000984,D
TRAIN_000991,E
TRAIN_001004,E
TRAIN_001007,E
TRAIN_001011,E
TRAIN_001013,E
TRAIN_001017,E
TRAIN_001020,E
TRAIN_001024,D
TRAIN_001026,E
TRAIN_001027,E
TRAIN_001029,E
TRAIN_001031,E
TRAIN_001032,C
TRAIN_001036,E
TRAIN_001040,C
TRAIN_001043,E
TRAIN_001045,E
TRAIN_001050,E
TRAIN_001052,E
TRAIN_001053,E
TRAIN_001054,E
TRAIN_001064,E
TRAIN_001068,E
TRAIN_001070,E
TRAIN_001071,E
TRAIN_001077,E
TRAIN_001079,E
TRAIN_001090,E
TRAIN_001091,D
TRAIN_001096,E
TRAIN_001105,C
TRAIN_001110,E
TRAIN_001111,E
TRAIN_001113,E
TRAIN_001124,E
TRAIN_001125,E
TRAIN_001126,E
TRAIN_001127,E
TRAIN_001131,E
TRAIN_001133,E
TRAIN_001136,E
TRAIN_001151,E
TRAIN_001156,E
TRAIN_001159,E
TRAIN_001166,E
TRAIN_001172,E
TRAIN_001174,D
TRAIN_001182,E
TRAIN_001183,E
TRAIN_001185,E
TRAIN_001188,E
TRAIN_001189,E
TRAIN_001193,E
TRAIN_001197,E
TRAIN_001213,E
TRAIN_001218,E
TRAIN_001219,E
TRAIN_001224,E
TRAIN_001226,E
TRAIN_001228,D
TRAIN_001231,E
TRAIN_001233,E
TRAIN_001238,E
TRAIN_001239,E
TRAIN_001248,E
TRAIN_001249,E
TRAIN_001253,D
TRAIN_001260,E
TRAIN_001271,E
TRAIN_001274,C
TRAIN_001275,D
TRAIN_001277,E
TRAIN_001278,D
TRAIN_001279,E
TRAIN_001283,C
TRAIN_001292,E
TRAIN_001295,E
TRAIN_001297,E
TRAIN_001303,E
TRAIN_001305,E
TRAIN_001309,E
TRAIN_001312,E
TRAIN_001318,E
TRAIN_001322,E
TRAIN_001334,E
TRAIN_001337,E
TRAIN_001340,E
TRAIN_001343,E
TRAIN_001346,E
TRAIN_001356,D
TRAIN_001358,E
TRAIN_001361,E
TRAIN_001367,C
TRAIN_001370,E
TRAIN_001374,E
TRAIN_001389,C
TRAIN_001393,D
TRAIN_001395,E
TRAIN_001397,D
TRAIN_001398,E
TRAIN_001402,E
TRAIN_001403,E
TRAIN_001407,E
TRAIN_001410,D
TRAIN_001413,E
TRAIN_001419,E
TRAIN_001423,E
TRAIN_001430,E
TRAIN_001431,E
TRAIN_001434,E
TRAIN_001435,C
TRAIN_001443,E
TRAIN_001445,E
TRAIN_001458,C
TRAIN_001460,E
TRAIN_001461,E
TRAIN_001462,E
TRAIN_001465,E
TRAIN_001467,E
TRAIN_001469,E
TRAIN_001472,E
TRAIN_001479,E
TRAIN_001481,E
TRAIN_001483,E
TRAIN_001486,E
TRAIN_001488,E
TRAIN_001491,E
TRAIN_001492,E
TRAIN_001494,E
TRAIN_001496,E
TRAIN_001499,E
TRAIN_001505,E
TRAIN_001512,D
TRAIN_001516,E
TRAIN_001518,E
TRAIN_001522,E
TRAIN_001525,E
TRAIN_001526,E
TRAIN_001528,C
TRAIN_001530,E
TRAIN_001538,D
TRAIN_001540,E
TRAIN_001541,D
TRAIN_001543,E
TRAIN_001547,C
TRAIN_001550,E
TRAIN_001552,E
TRAIN_001554,D
TRAIN_001558,E
TRAIN_001567,E
TRAIN_001569,E
TRAIN_001570,D
TRAIN_001572,E
TRAIN_001575,E
TRAIN_001576,E
TRAIN_001581,E
TRAIN_001582,E
TRAIN_001586,E
TRAIN_001592,E
TRAIN_001596,E
TRAIN_001603,E
TRAIN_001608,E
TRAIN_001618,D
TRAIN_001619,C
TRAIN_001624,E
TRAIN_001625,E
TRAIN_001629,E
TRAIN_001630,D
TRAIN_001637,E
TRAIN_001643,D
TRAIN_001645,E
TRAIN_001647,D
TRAIN_001648,E
TRAIN_001651,E
TRAIN_001653,E
TRAIN_001673,E
TRAIN_001681,E
TRAIN_001682,C
TRAIN_001683,E
TRAIN_001684,E
TRAIN_001685,E
TRAIN_001687,E
TRAIN_001688,E
TRAIN_001689,C
TRAIN_001696,E
TRAIN_001702,E
TRAIN_001708,E
TRAIN_001710,E
TRAIN_001719,D
TRAIN_001720,E
TRAIN_001727,E
TRAIN_001728,E
TRAIN_001730,E
TRAIN_001731,E
TRAIN_001732,D
TRAIN_001738,D
TRAIN_001741,E
TRAIN_001744,E
TRAIN_001750,E
TRAIN_001758,E
TRAIN_001763,E
TRAIN_001768,D
TRAIN_001772,E
TRAIN_001776,E
TRAIN_001780,E
TRAIN_001781,D
TRAIN_001786,E
TRAIN_001788,D
TRAIN_001790,E
TRAIN_001793,E
TRAIN_001794,E
TRAIN_001797,E
TRAIN_001800,C
TRAIN_001802,E
TRAIN_001807,E
TRAIN_001813,E
TRAIN_001818,D
TRAIN_001819,E
TRAIN_001821,E
TRAIN_001826,E
TRAIN_001827,E
TRAIN_001830,D
TRAIN_001831,E
TRAIN_001834,E
TRAIN_001835,E
TRAIN_001836,E
TRAIN_001844,E
TRAIN_001847,E
TRAIN_001848,D
TRAIN_001849,E
TRAIN_001850,E
TRAIN_001870,E
TRAIN_001871,E
TRAIN_001877,E
TRAIN_001878,D
TRAIN_001887,D
TRAIN_001889,E
TRAIN_001891,D
TRAIN_001892,C
TRAIN_001900,E
TRAIN_001901,E
TRAIN_001905,E
TRAIN_001914,E
TRAIN_001916,E
TRAIN_001922,C
TRAIN_001929,D
TRAIN_001934,E
TRAIN_001937,E
TRAIN_001938,E
TRAIN_001941,E
TRAIN_001943,D
TRAIN_001946,E
TRAIN_001949,E
TRAIN_001951,E
TRAIN_001953,E
TRAIN_001962,E
TRAIN_001964,E
TRAIN_001970,E
TRAIN_001974,E
TRAIN_001976,E
TRAIN_001977,D
TRAIN_001981,E
TRAIN_001987,E
TRAIN_001989,D
TRAIN_001994,E
TRAIN_001995,E
TRAIN_001997,D
TRAIN_002006,E
TRAIN_002018,E
TRAIN_002022,E
TRAIN_002026,E
TRAIN_002027,E
TRAIN_002030,E
TRAIN_002031,E
TRAIN_002032,E
TRAIN_002034,E
TRAIN_002036,D
TRAIN_002037,E
TRAIN_002038,E
TRAIN_002042,E
TRAIN_002043,E
TRAIN_002057,E
TRAIN_002059,E
TRAIN_002062,D
TRAIN_002064,E
TRAIN_002068,E
TRAIN_002074,E
TRAIN_002076,E
TRAIN_002085,E
TRAIN_002086,E
TRAIN_002088,D
TRAIN_002090,E
TRAIN_002095,D
TRAIN_002102,E
TRAIN_002106,E
TRAIN_002109,D
TRAIN_002113,C
TRAIN_002129,E
TRAIN_002130,E
TRAIN_002133,E
TRAIN_002141,E
TRAIN_002145,E
TRAIN_002146,E
TRAIN_002147,E
TRAIN_002152,E
TRAIN_002157,E
TRAIN_002165,E
TRAIN_002170,E
TRAIN_002173,E
TRAIN_002185,D
TRAIN_002188,E
TRAIN_002190,E
TRAIN_002193,E
TRAIN_002196,E
TRAIN_002199,D
TRAIN_002201,D
TRAIN_002202,D
TRAIN_002205,E
TRAIN_002206,E
TRAIN_002212,E
TRAIN_002215,E
TRAIN_002222,E
TRAIN_002229,E
TRAIN_002231,E
TRAIN_002232,E
TRAIN_002236,C
TRAIN_002238,E
TRAIN_002248,E
TRAIN_002251,E
TRAIN_002252,E
TRAIN_002253,E
TRAIN_002259,D
TRAIN_002264,E
TRAIN_002266,D
TRAIN_002268,D
TRAIN_002271,E
TRAIN_002275,E
TRAIN_002283,E
TRAIN_002290,E
TRAIN_002296,E
TRAIN_002298,E
TRAIN_002299,E
TRAIN_002302,C
TRAIN_002306,E
TRAIN_002310,E
TRAIN_002317,D
TRAIN_002321,E
TRAIN_002324,D
TRAIN_002325,E
TRAIN_002331,D
TRAIN_002334,C
TRAIN_002335,E
TRAIN_002336,E
TRAIN_002341,E
TRAIN_002343,E
TRAIN_002349,E
TRAIN_002351,E
TRAIN_002358,E
TRAIN_002362,D
TRAIN_002363,D
TRAIN_002364,D
TRAIN_002367,E
TRAIN_002368,E
TRAIN_002374,E
TRAIN_002375,E
TRAIN_002379,E
TRAIN_002384,E
TRAIN_002386,E
TRAIN_002389,C
TRAIN_002393,E
TRAIN_002409,E
TRAIN_002415,E
TRAIN_002421,E
TRAIN_002424,E
TRAIN_002428,C
TRAIN_002430,E
TRAIN_002434,D
TRAIN_002448,E
TRAIN_002449,E
TRAIN_002450,E
TRAIN_002454,E
TRAIN_002455,E
TRAIN_002459,E
TRAIN_002464,D
TRAIN_002466,E
TRAIN_002467,E
TRAIN_002468,D
TRAIN_002475,E
TRAIN_002483,E
TRAIN_002485,C
TRAIN_002493,E
TRAIN_002494,E
TRAIN_002495,C
TRAIN_002498,E
TRAIN_002500,E
TRAIN_002501,E
TRAIN_002502,E
TRAIN_002503,E
TRAIN_002504,E
TRAIN_002508,E
TRAIN_002511,E
TRAIN_002512,E
TRAIN_002522,E
TRAIN_002532,E
TRAIN_002534,E
TRAIN_002545,E
TRAIN_002548,E
TRAIN_002549,D
TRAIN_002553,E
TRAIN_002562,E
TRAIN_002563,E
TRAIN_002574,E
TRAIN_002576,D
TRAIN_002579,C
TRAIN_002580,E
TRAIN_002583,D
TRAIN_002584,E
TRAIN_002587,E
TRAIN_002588,E
TRAIN_002604,E
TRAIN_002605,C
TRAIN_002613,E
TRAIN_002614,E
TRAIN_002619,E
TRAIN_002621,E
TRAIN_002624,E
TRAIN_002633,E
TRAIN_002635,E
TRAIN_002640,E
TRAIN_002649,D
TRAIN_002652,E
TRAIN_002666,E
TRAIN_002670,E
TRAIN_002675,E
TRAIN_002680,E
TRAIN_002685,E
TRAIN_002688,D
TRAIN_002690,E
TRAIN_002704,E
TRAIN_002709,D
TRAIN_002712,E
TRAIN_002713,E
TRAIN_002715,E
TRAIN_002716,E
TRAIN_002721,E
TRAIN_002727,D
TRAIN_002733,E
TRAIN_002735,E
TRAIN_002739,E
TRAIN_002740,E
TRAIN_002741,E
TRAIN_002744,D
TRAIN_002748,E
TRAIN_002749,E
TRAIN_002761,E
TRAIN_002762,E
TRAIN_002764,D
TRAIN_002767,E
TRAIN_002771,E
TRAIN_002772,D
TRAIN_002779,D
TRAIN_002784,D
TRAIN_002786,E
TRAIN_002791,E
TRAIN_002800,E
TRAIN_002801,E
TRAIN_002806,E
TRAIN_002808,E
TRAIN_002814,D
TRAIN_002815,D
TRAIN_002827,E
TRAIN_002833,E
TRAIN_002835,E
TRAIN_002839,E
TRAIN_002842,E
TRAIN_002846,E
TRAIN_002848,E
TRAIN_002851,D
TRAIN_002852,D
TRAIN_002856,E
TRAIN_002857,E
TRAIN_002860,E
TRAIN_002862,D
TRAIN_002863,E
TRAIN_002870,E
TRAIN_002873,E
TRAIN_002877,E
TRAIN_002879,E
TRAIN_002880,E
TRAIN_002882,E
TRAIN_002888,E
TRAIN_002889,E
TRAIN_002891,E
TRAIN_002894,E
TRAIN_002897,E
TRAIN_002902,D
TRAIN_002904,E
TRAIN_002905,D
TRAIN_002908,E
TRAIN_002911,E
TRAIN_002913,E
TRAIN_002918,E
TRAIN_002922,E
TRAIN_002923,C
TRAIN_002934,E
TRAIN_002943,D
TRAIN_002945,E
TRAIN_002955,C
TRAIN_002958,E
TRAIN_002967,E
TRAIN_002969,E
TRAIN_002970,E
TRAIN_002971,E
TRAIN_002973,D
TRAIN_002974,E
TRAIN_002977,E
TRAIN_002981,D
TRAIN_002984,E
TRAIN_002992,E
TRAIN_003001,D
TRAIN_003008,D
TRAIN_003010,E
TRAIN_003012,E
TRAIN_003019,E
TRAIN_003022,E
TRAIN_003025,D
TRAIN_003026,E
TRAIN_003029,E
TRAIN_003036,E
TRAIN_003038,E
TRAIN_003050,E
TRAIN_003057,D
TRAIN_003058,E
TRAIN_003061,E
TRAIN_003063,D
TRAIN_003064,E
TRAIN_003065,E
TRAIN_003067,E
TRAIN_003068,E
TRAIN_003071,E
TRAIN_003077,E
TRAIN_003082,E
TRAIN_003091,C
TRAIN_003094,D
TRAIN_003095,E
TRAIN_003099,E
TRAIN_003101,E
TRAIN_003103,D
TRAIN_003115,D
TRAIN_003117,E
TRAIN_003120,E
TRAIN_003124,E
TRAIN_003125,E
TRAIN_003129,E
TRAIN_003131,E
TRAIN_003132,E
TRAIN_003133,E
TRAIN_003151,E
TRAIN_003153,E
TRAIN_003157,E
TRAIN_003161,E
TRAIN_003167,E
TRAIN_003177,E
TRAIN_003181,E
TRAIN_003185,E
TRAIN_003195,E
TRAIN_003199,E
TRAIN_003200,E
TRAIN_003202,E
TRAIN_003208,E
TRAIN_003210,D
TRAIN_003213,D
TRAIN_003215,E
TRAIN_003220,E
TRAIN_003224,E
TRAIN_003228,E
TRAIN_003229,D
TRAIN_003231,C
TRAIN_003235,E
TRAIN_003240,D
TRAIN_003241,E
TRAIN_003242,D
TRAIN_003254,E
TRAIN_003258,E
TRAIN_003259,E
TRAIN_003261,E
TRAIN_003262,E
TRAIN_003280,E
TRAIN_003287,E
TRAIN_003288,E
TRAIN_003292,E
TRAIN_003294,E
TRAIN_003296,E
TRAIN_003305,E
TRAIN_003309,E
TRAIN_003311,E
TRAIN_003312,C
TRAIN_003316,E
TRAIN_003324,E
TRAIN_003328,E
TRAIN_003329,E
TRAIN_003333,E
TRAIN_003335,E
TRAIN_003338,D
TRAIN_003339,E
TRAIN_003342,E
TRAIN_003348,E
TRAIN_003349,E
TRAIN_003353,D
TRAIN_003355,E
TRAIN_003357,E
TRAIN_003365,D
TRAIN_003368,D
TRAIN_003373,E
TRAIN_003380,E
TRAIN_003389,E
TRAIN_003395,D
TRAIN_003396,E
TRAIN_003406,E
TRAIN_003407,D
TRAIN_003410,E
TRAIN_003416,E
TRAIN_003418,E
TRAIN_003419,E
TRAIN_003425,E
TRAIN_003426,E
TRAIN_003428,E
TRAIN_003440,E
TRAIN_003441,E
TRAIN_003442,E
TRAIN_003443,E
TRAIN_003448,E
TRAIN_003454,E
TRAIN_003457,C
TRAIN_003459,E
TRAIN_003462,E
TRAIN_003463,E
TRAIN_003469,D
TRAIN_003472,E
TRAIN_003473,E
TRAIN_003478,E
TRAIN_003479,E
TRAIN_003481,E
TRAIN_003484,E
TRAIN_003490,D
TRAIN_003491,E
TRAIN_003492,E
TRAIN_003496,E
TRAIN_003500,D
TRAIN_003504,E
TRAIN_003507,E
TRAIN_003509,E
TRAIN_003518,C
TRAIN_003523,D
TRAIN_003525,E
TRAIN_003529,E
TRAIN_003536,E
TRAIN_003537,E
TRAIN_003538,E
TRAIN_003548,E
TRAIN_003550,E
TRAIN_003551,E
TRAIN_003553,E
TRAIN_003557,E
TRAIN_003560,E
TRAIN_003565,E
TRAIN_003578,E
TRAIN_003585,E
TRAIN_003592,E
TRAIN_003596,E
TRAIN_003610,E
TRAIN_003617,E
TRAIN_003618,E
TRAIN_003620,E
TRAIN_003621,E
TRAIN_003628,E
TRAIN_003630,E
TRAIN_003638,E
TRAIN_003639,E
TRAIN_003641,E
TRAIN_003643,D
TRAIN_003644,E
TRAIN_003645,E
TRAIN_003646,E
TRAIN_003655,E
TRAIN_003656,E
TRAIN_003665,D
TRAIN_003666,E
TRAIN_003667,E
TRAIN_003669,D
TRAIN_003673,E
TRAIN_003675,E
TRAIN_003676,E
TRAIN_003677,E
TRAIN_003680,E
TRAIN_003683,E
TRAIN_003684,E
TRAIN_003688,E
TRAIN_003689,E
TRAIN_003694,E
TRAIN_003695,D
TRAIN_003701,E
TRAIN_003710,E
TRAIN_003721,E
TRAIN_003731,E
TRAIN_003733,E
TRAIN_003735,E
TRAIN_003737,D
TRAIN_003738,E
TRAIN_003744,E
TRAIN_003747,E
TRAIN_003749,E
TRAIN_003752,D
TRAIN_003753,E
TRAIN_003755,E
TRAIN_003759,E
TRAIN_003761,E
TRAIN_003762,D
TRAIN_003775,D
TRAIN_003787,D
TRAIN_003788,E
TRAIN_003791,C
TRAIN_003792,E
TRAIN_003793,E
TRAIN_003795,E
TRAIN_003797,D
TRAIN_003798,D
TRAIN_003799,E
TRAIN_003803,E
TRAIN_003807,E
TRAIN_003812,E
TRAIN_003814,E
TRAIN_003832,E
TRAIN_003833,D
TRAIN_003842,E
TRAIN_003843,E
TRAIN_003853,E
TRAIN_003855,D
TRAIN_003858,E
TRAIN_003860,E
TRAIN_003861,E
TRAIN_003868,E
TRAIN_003870,E
TRAIN_003873,E
TRAIN_003875,E
TRAIN_003882,E
TRAIN_003885,E
TRAIN_003886,E
TRAIN_003887,D
TRAIN_003892,D
TRAIN_003895,D
TRAIN_003896,E
TRAIN_003904,E
TRAIN_003912,E
TRAIN_003913,E
TRAIN_003915,E
TRAIN_003916,E
TRAIN_003922,E
TRAIN_003924,E
TRAIN_003932,E
TRAIN_003933,E
TRAIN_003940,E
TRAIN_003945,D
TRAIN_003950,E
TRAIN_003952,E
TRAIN_003957,E
TRAIN_003963,E
TRAIN_003971,E
TRAIN_003972,E
TRAIN_003974,E
TRAIN_003975,E
TRAIN_003986,E
TRAIN_003992,E
TRAIN_003993,E
TRAIN_003996,E
TRAIN_003997,E
TRAIN_004009,E
TRAIN_004012,D
TRAIN_004018,E
TRAIN_004019,E
TRAIN_004020,E
TRAIN_004026,D
TRAIN_004037,E
TRAIN_004038,E
TRAIN_004039,C
TRAIN_004042,E
TRAIN_004043,D
TRAIN_004044,E
TRAIN_004045,D
TRAIN_004046,D
TRAIN_004049,E
TRAIN_004050,E
TRAIN_004051,E
TRAIN_004052,E
TRAIN_004054,E
TRAIN_004058,E
TRAIN_004061,E
TRAIN_004066,E
TRAIN_004068,E
TRAIN_004070,E
TRAIN_004072,E
TRAIN_004074,E
TRAIN_004076,E
TRAIN_004082,E
TRAIN_004085,E
TRAIN_004087,E
TRAIN_004088,C
TRAIN_004095,E
TRAIN_004098,E
TRAIN_004101,E
TRAIN_004102,E
TRAIN_004103,E
TRAIN_004106,E
TRAIN_004110,E
TRAIN_004115,E
TRAIN_004124,E
TRAIN_004128,C
TRAIN_004129,E
TRAIN_004132,E
TRAIN_004141,E
TRAIN_004144,E
TRAIN_004148,E
TRAIN_004150,E
TRAIN_004151,E
TRAIN_004159,E
TRAIN_004161,E
TRAIN_004167,E
TRAIN_004168,E
TRAIN_004169,E
TRAIN_004175,E
TRAIN_004178,C
TRAIN_004183,E
TRAIN_004185,E
TRAIN_004186,E
TRAIN_004190,E
TRAIN_004196,D
TRAIN_004199,D
TRAIN_004202,E
TRAIN_004204,E
TRAIN_004210,E
TRAIN_004211,E
TRAIN_004215,E
TRAIN_004216,E
TRAIN_004218,D
TRAIN_004221,E
TRAIN_004224,C
TRAIN_004229,E
TRAIN_004231,E
TRAIN_004234,D
TRAIN_004238,E
TRAIN_004239,E
TRAIN_004240,E
TRAIN_004242,E
TRAIN_004244,D
TRAIN_004248,D
TRAIN_004250,E
TRAIN_004252,E
TRAIN_004256,E
TRAIN_004260,E
TRAIN_004270,E
TRAIN_004283,E
TRAIN_004284,D
TRAIN_004285,E
TRAIN_004289,E
TRAIN_004293,E
TRAIN_004295,E
TRAIN_004297,E
TRAIN_004298,E
TRAIN_004301,E
TRAIN_004303,D
TRAIN_004314,E
TRAIN_004316,E
TRAIN_004317,E
TRAIN_004322,E
TRAIN_004332,C
TRAIN_004335,E
TRAIN_004345,E
TRAIN_004352,E
TRAIN_004361,E
TRAIN_004362,E
TRAIN_004373,E
TRAIN_004380,E
TRAIN_004381,E
TRAIN_004385,E
TRAIN_004391,E
TRAIN_004392,C
TRAIN_004395,E
TRAIN_004402,E
TRAIN_004403,E
TRAIN_004407,E
TRAIN_004410,D
TRAIN_004411,E
TRAIN_004420,E
TRAIN_004421,E
TRAIN_004422,E
TRAIN_004424,E
TRAIN_004425,D
TRAIN_004435,E
TRAIN_004442,E
TRAIN_004444,E
TRAIN_004445,E
TRAIN_004449,E
TRAIN_004451,E
TRAIN_004456,E
TRAIN_004459,E
TRAIN_004465,E
TRAIN_004467,E
TRAIN_004473,E
TRAIN_004479,E
TRAIN_004480,E
TRAIN_004481,E
TRAIN_004485,E
TRAIN_004491,E
TRAIN_004505,E
TRAIN_004514,E
TRAIN_004520,E
TRAIN_004523,E
TRAIN_004527,D
TRAIN_004532,E
TRAIN_004533,E
TRAIN_004535,E
TRAIN_004538,E
TRAIN_004541,E
TRAIN_004545,C
TRAIN_004562,E
TRAIN_004563,E
TRAIN_004565,E
TRAIN_004573,E
TRAIN_004581,E
TRAIN_004582,E
TRAIN_004585,E
TRAIN_004593,E
TRAIN_004597,E
TRAIN_004598,E
TRAIN_004601,C
TRAIN_004606,C
TRAIN_004608,E
TRAIN_004609,E
TRAIN_004614,E
TRAIN_004625,E
TRAIN_004634,E
TRAIN_004637,E
TRAIN_004639,D
TRAIN_004641,E
TRAIN_004643,E
TRAIN_004659,E
TRAIN_004660,E
TRAIN_004661,E
TRAIN_004662,E
TRAIN_004664,E
TRAIN_004665,E
TRAIN_004666,E
TRAIN_004672,E
TRAIN_004679,E
TRAIN_004681,E
TRAIN_004682,E
TRAIN_004686,E
TRAIN_004688,E
TRAIN_004689,E
TRAIN_004697,E
TRAIN_004698,D
TRAIN_004701,E
TRAIN_004705,E
TRAIN_004711,E
TRAIN_004712,E
TRAIN_004713,E
TRAIN_004714,E
TRAIN_004717,E
TRAIN_004724,E
TRAIN_004731,E
TRAIN_004734,E
TRAIN_004739,E
TRAIN_004744,E
TRAIN_004745,E
TRAIN_004750,E
TRAIN_004752,E
TRAIN_004753,E
TRAIN_004754,D
TRAIN_004767,D
TRAIN_004770,C
TRAIN_004775,E
TRAIN_004781,E
TRAIN_004789,E
TRAIN_004794,D
TRAIN_004795,E
TRAIN_004796,E
TRAIN_004797,E
TRAIN_004798,E
TRAIN_004801,E
TRAIN_004805,E
TRAIN_004807,E
TRAIN_004813,E
TRAIN_004816,E
TRAIN_004822,E
TRAIN_004826,E
TRAIN_004829,E
TRAIN_004830,E
TRAIN_004832,E
TRAIN_004835,D
TRAIN_004840,E
TRAIN_004843,E
TRAIN_004848,D
TRAIN_004855,E
TRAIN_004859,E
TRAIN_004864,D
TRAIN_004866,E
TRAIN_004868,E
TRAIN_004869,E
TRAIN_004870,E
TRAIN_004872,E
TRAIN_004873,E
TRAIN_004881,D
TRAIN_004883,E
TRAIN_004885,E
TRAIN_004888,E
TRAIN_004890,D
TRAIN_004891,E
TRAIN_004896,D
TRAIN_004898,E
TRAIN_004903,E
TRAIN_004904,E
TRAIN_004905,E
